prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.181
0,0,1,32,12.267
0,0,1,64,12.246
0,0,1,128,13.6963
0,0,1,256,14.5923
0,0,1,512,14.6777
0,0,1,1024,16.8217
0,0,1,2048,16.9703
0,0,1,4096,18.6667
0,0,1,8192,22.667
0,0,1,16384,28.778
0,0,2,16,12.3303
0,0,2,32,12.182
0,0,2,64,12.331
0,0,2,128,13.5363
0,0,2,256,14.4743
0,0,2,512,15.68
0,0,2,1024,16.96
0,0,2,2048,17.8453
0,0,2,4096,21.0987
0,0,2,8192,27.6377
0,0,2,16384,39.467
0,0,4,16,12.4053
0,0,4,32,12.533
0,0,4,64,12.544
0,0,4,128,13.8133
0,0,4,256,14.9553
0,0,4,512,16.128
0,0,4,1024,17.7383
0,0,4,2048,21.3543
0,0,4,4096,27.69
0,0,4,8192,39.168
0,0,4,16384,61.355
0,0,8,16,13.0773
0,0,8,32,13.109
0,0,8,64,13.259
0,0,8,128,14.3473
0,0,8,256,15.1783
0,0,8,512,18.2507
0,0,8,1024,21.8243
0,0,8,2048,27.936
0,0,8,4096,39.573
0,0,8,8192,61.76
0,0,8,16384,106.304
0,0,16,16,13.1207
0,0,16,32,13.269
0,0,16,64,13.419
0,0,16,128,14.848
0,0,16,256,17.046
0,0,16,512,23.7227
0,0,16,1024,30.155
0,0,16,2048,41.8983
0,0,16,4096,63.0083
0,0,16,8192,106.304
0,0,16,16384,194.73
0,0,32,16,13.4513
0,0,32,32,13.899
0,0,32,64,14.197
0,0,32,128,16.9603
0,0,32,256,20.501
0,0,32,512,31.1463
0,0,32,1024,42.9337
0,0,32,2048,66.1117
0,0,32,4096,109.941
0,0,32,8192,197.066
0,0,32,16384,372.202
0,0,64,16,17.376
0,0,64,32,17.8877
0,0,64,64,18.571
0,0,64,128,22.6557
0,0,64,256,28.704
0,0,64,512,43.295
0,0,64,1024,65.803
0,0,64,2048,108.107
0,0,64,4096,192.288
0,0,64,8192,364.33
0,0,64,16384,711.859
0,0,128,16,24.0853
0,0,128,32,24.363
0,0,128,64,25.7923
0,0,128,128,33.141
0,0,128,256,45.6533
0,0,128,512,71.1467
