layer,sequences,time_us
lm_head,1,167.235
lm_head,2,168.247
lm_head,3,169.399
lm_head,4,169.538
lm_head,5,169.73
lm_head,6,171.501
lm_head,7,171.906
lm_head,8,170.999
lm_head,9,171.842
lm_head,10,172.194
lm_head,11,172.332
lm_head,12,172.151
lm_head,13,173.442
lm_head,14,173.197
lm_head,15,174.509
lm_head,16,174.115
lm_head,20,175.48
lm_head,24,175.938
lm_head,28,176.567
lm_head,32,177.612
lm_head,36,177.837
lm_head,40,177.837
lm_head,44,176.973
lm_head,48,178.445
lm_head,52,178.967
lm_head,56,179.447
lm_head,60,179.49
lm_head,64,179.874
lm_head,80,182.541
lm_head,96,184.514
lm_head,112,187.33
lm_head,128,188.12
lm_head,144,192.525
lm_head,160,196.514
lm_head,176,195.021
lm_head,192,198.626
lm_head,208,201.997
lm_head,224,203.106
lm_head,240,283.534
lm_head,256,203.17
sampler,1,26.528
sampler,2,26.0807
sampler,3,25.942
sampler,4,26.0057
sampler,5,26.0057
sampler,6,25.9637
sampler,7,25.8773
sampler,8,25.7287
sampler,9,25.7283
sampler,10,26.155
sampler,11,25.953
sampler,12,25.8557
sampler,13,27.7127
sampler,14,28.1077
sampler,15,28.0537
sampler,16,28.149
sampler,20,28.3847
sampler,24,28.8747
sampler,28,31.0087
sampler,32,31.381
sampler,36,32.011
sampler,40,33.269
sampler,44,34.0597
sampler,48,35.0507
sampler,52,36.2563
sampler,56,36.7577
sampler,60,37.9097
sampler,64,38.977
sampler,80,50.2717
sampler,96,58.4967
sampler,112,66.2197
sampler,128,73.5263
sampler,144,80.822
sampler,160,89.153
sampler,176,97.1637
sampler,192,106.156
sampler,208,113.324
sampler,224,121.431
sampler,240,128.087
sampler,256,135.01
