layer,sequences,time_us
lm_head,1,236.7039
lm_head,2,236.7380
lm_head,3,236.7721
lm_head,4,236.8062
lm_head,5,236.8403
lm_head,6,236.8744
lm_head,7,236.9085
lm_head,8,236.9427
lm_head,9,236.9768
lm_head,10,237.0109
lm_head,11,237.0450
lm_head,12,237.0791
lm_head,13,237.1132
lm_head,14,237.1473
lm_head,15,237.1814
lm_head,16,237.2156
lm_head,20,237.3520
lm_head,24,237.4884
lm_head,28,237.6249
lm_head,32,237.7613
lm_head,36,237.8978
lm_head,40,238.0342
lm_head,44,238.1707
lm_head,48,238.3071
lm_head,52,238.4436
lm_head,56,238.5800
lm_head,60,238.7165
lm_head,64,238.8529
lm_head,80,239.3987
lm_head,96,239.9445
lm_head,112,240.4903
lm_head,128,241.0361
lm_head,144,241.5819
lm_head,160,242.1277
lm_head,176,242.6735
lm_head,192,243.2193
lm_head,208,249.7609
lm_head,224,268.5887
lm_head,240,287.4165
lm_head,256,306.2442
sampler,1,5.0323
sampler,2,5.0646
sampler,3,5.0970
sampler,4,5.1293
sampler,5,5.1616
sampler,6,5.1939
sampler,7,5.2262
sampler,8,5.2586
sampler,9,5.2909
sampler,10,5.3232
sampler,11,5.3555
sampler,12,5.3878
sampler,13,5.4202
sampler,14,5.4525
sampler,15,5.4848
sampler,16,5.5171
sampler,20,5.6464
sampler,24,5.7757
sampler,28,5.9050
sampler,32,6.0342
sampler,36,6.1635
sampler,40,6.2928
sampler,44,6.4221
sampler,48,6.5514
sampler,52,6.6806
sampler,56,6.8099
sampler,60,6.9392
sampler,64,7.0685
sampler,80,7.5856
sampler,96,8.1027
sampler,112,8.6198
sampler,128,9.1370
sampler,144,9.6541
sampler,160,10.1712
sampler,176,10.6883
sampler,192,11.2054
sampler,208,11.7226
sampler,224,12.2397
sampler,240,12.7568
sampler,256,13.2739
