layer,sequences,time_us
lm_head,1,26.0879
lm_head,2,26.0941
lm_head,3,26.1004
lm_head,4,26.1067
lm_head,5,26.1129
lm_head,6,26.1192
lm_head,7,26.1254
lm_head,8,26.1317
lm_head,9,26.1379
lm_head,10,26.1442
lm_head,11,26.1505
lm_head,12,26.1567
lm_head,13,26.1630
lm_head,14,26.1692
lm_head,15,26.1755
lm_head,16,26.1817
lm_head,20,26.2068
lm_head,24,26.2318
lm_head,28,26.2568
lm_head,32,26.2819
lm_head,36,26.3069
lm_head,40,26.3319
lm_head,44,26.3569
lm_head,48,26.3820
lm_head,52,26.4070
lm_head,56,26.4320
lm_head,60,26.4570
lm_head,64,26.4821
lm_head,80,26.5822
lm_head,96,26.6823
lm_head,112,26.7824
lm_head,128,26.8825
lm_head,144,26.9826
lm_head,160,27.0827
lm_head,176,27.1829
lm_head,192,27.2830
lm_head,208,27.3831
lm_head,224,27.4832
lm_head,240,28.1220
lm_head,256,29.6635
sampler,1,5.0412
sampler,2,5.0824
sampler,3,5.1235
sampler,4,5.1647
sampler,5,5.2059
sampler,6,5.2471
sampler,7,5.2882
sampler,8,5.3294
sampler,9,5.3706
sampler,10,5.4118
sampler,11,5.4529
sampler,12,5.4941
sampler,13,5.5353
sampler,14,5.5765
sampler,15,5.6176
sampler,16,5.6588
sampler,20,5.8235
sampler,24,5.9882
sampler,28,6.1529
sampler,32,6.3176
sampler,36,6.4823
sampler,40,6.6470
sampler,44,6.8117
sampler,48,6.9764
sampler,52,7.1411
sampler,56,7.3058
sampler,60,7.4705
sampler,64,7.6352
sampler,80,8.2940
sampler,96,8.9528
sampler,112,9.6116
sampler,128,10.2704
sampler,144,10.9292
sampler,160,11.5880
sampler,176,12.2468
sampler,192,12.9056
sampler,208,13.5644
sampler,224,14.2232
sampler,240,14.8820
sampler,256,15.5408
