prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,5.0015
0,0,1,32,5.0026
0,0,1,64,5.0046
0,0,1,128,5.0087
0,0,1,256,5.0169
0,0,1,512,5.0333
0,0,1,768,5.0497
0,0,1,1024,5.0660
0,0,1,1152,5.0742
0,0,1,1728,5.1111
0,0,1,2048,5.1316
0,0,1,2592,5.1664
0,0,1,3888,5.2493
0,0,1,4096,5.2627
0,0,1,5832,5.3738
0,0,1,8192,5.5248
0,0,1,8748,5.5604
0,0,1,13122,5.8403
0,0,1,16384,6.0491
0,0,2,16,5.0031
0,0,2,32,5.0051
0,0,2,64,5.0092
0,0,2,128,5.0174
0,0,2,256,5.0338
0,0,2,512,5.0666
0,0,2,768,5.0993
0,0,2,1024,5.1321
0,0,2,1152,5.1485
0,0,2,1728,5.2222
0,0,2,2048,5.2632
0,0,2,2592,5.3328
0,0,2,3888,5.4987
0,0,2,4096,5.5253
0,0,2,5832,5.7475
0,0,2,8192,6.0496
0,0,2,8748,6.1208
0,0,2,13122,6.6806
0,0,2,16384,7.0982
0,0,4,16,5.0061
0,0,4,32,5.0102
0,0,4,64,5.0184
0,0,4,128,5.0348
0,0,4,256,5.0676
0,0,4,512,5.1331
0,0,4,768,5.1987
0,0,4,1024,5.2642
0,0,4,1152,5.2970
0,0,4,1728,5.4444
0,0,4,2048,5.5263
0,0,4,2592,5.6656
0,0,4,3888,5.9974
0,0,4,4096,6.0506
0,0,4,5832,6.4950
0,0,4,8192,7.0992
0,0,4,8748,7.2415
0,0,4,13122,8.3613
0,0,4,16384,9.1964
0,0,8,16,5.0123
0,0,8,32,5.0205
0,0,8,64,5.0369
0,0,8,128,5.0696
0,0,8,256,5.1352
0,0,8,512,5.2662
0,0,8,768,5.3973
0,0,8,1024,5.5284
0,0,8,1152,5.5939
0,0,8,1728,5.8888
0,0,8,2048,6.0527
0,0,8,2592,6.3312
0,0,8,3888,6.9948
0,0,8,4096,7.1012
0,0,8,5832,7.9901
0,0,8,8192,9.1984
0,0,8,8748,9.4831
0,0,8,13122,11.7226
0,0,8,16384,13.3927
0,0,16,16,5.0246
0,0,16,32,5.0410
0,0,16,64,5.0737
0,0,16,128,5.1393
0,0,16,256,5.2703
0,0,16,512,5.5325
0,0,16,768,5.7946
0,0,16,1024,6.0568
0,0,16,1152,6.1878
0,0,16,1728,6.7777
0,0,16,2048,7.1053
0,0,16,2592,7.6624
0,0,16,3888,8.9895
0,0,16,4096,9.2025
0,0,16,5832,10.9802
0,0,16,8192,13.3968
0,0,16,8748,13.9661
0,0,16,13122,18.4451
0,0,16,16384,21.7854
0,0,32,16,5.0492
0,0,32,32,5.0819
0,0,32,64,5.1475
0,0,32,128,5.2785
0,0,32,256,5.5407
0,0,32,512,6.0650
0,0,32,768,6.5892
0,0,32,1024,7.1135
0,0,32,1152,7.3757
0,0,32,1728,8.5553
0,0,32,2048,9.2107
0,0,32,2592,10.3248
0,0,32,3888,12.9790
0,0,32,4096,13.4050
0,0,32,5832,16.9603
0,0,32,8192,21.7936
0,0,32,8748,22.9323
0,0,32,13122,31.8902
0,0,32,16384,38.5708
0,0,64,16,5.0983
0,0,64,32,5.1638
0,0,64,64,5.2949
0,0,64,128,5.5571
0,0,64,256,6.0813
0,0,64,512,7.1299
0,0,64,768,8.1785
0,0,64,1024,9.2271
0,0,64,1152,9.7514
0,0,64,1728,12.1107
0,0,64,2048,13.4214
0,0,64,2592,15.6496
0,0,64,3888,20.9580
0,0,64,4096,21.8100
0,0,64,5832,28.9206
0,0,64,8192,38.5872
0,0,64,8748,40.8646
0,0,64,13122,58.7805
0,0,64,16384,72.1416
0,0,128,16,5.1966
0,0,128,32,5.3277
0,0,128,64,5.5898
0,0,128,128,6.1141
0,0,128,256,7.1627
0,0,128,512,9.2598
0,0,128,768,11.3570
0,0,128,1024,13.4541
0,0,128,1152,14.5027
0,0,128,1728,19.2213
0,0,128,2048,21.8428
0,0,128,2592,26.2992
0,0,128,3888,36.9160
0,0,128,4096,38.6200
0,0,128,5832,52.8413
0,0,128,8192,72.1744
0,0,128,8748,76.7292
0,0,128,13122,112.5610
0,0,128,16384,139.2833
0,0,256,16,5.3932
0,0,256,32,5.6554
0,0,256,64,6.1796
0,0,256,128,7.2282
0,0,256,256,9.3254
0,0,256,512,13.5197
0,0,256,768,17.7140
0,0,256,1024,21.9083
0,0,256,1152,24.0054
0,0,256,1728,33.4426
0,0,256,2048,38.6855
0,0,256,2592,47.5984
0,0,256,3888,68.8321
0,0,256,4096,72.2399
0,0,256,5832,100.6826
0,0,256,8192,139.3488
0,0,256,8748,148.4583
0,0,256,13122,220.1219
0,0,256,16384,273.5665
16,0,0,0,5.0092
16,0,1,16,5.0108
16,0,1,32,5.0118
16,0,1,64,5.0138
16,0,1,128,5.0179
16,0,1,256,5.0261
16,0,1,512,5.0425
16,0,1,768,5.0589
16,0,1,1024,5.0753
16,0,1,1152,5.0835
16,0,1,1728,5.1203
16,0,1,2048,5.1408
16,0,1,2592,5.1756
16,0,1,3888,5.2586
16,0,1,4096,5.2719
16,0,1,5832,5.3830
16,0,1,8192,5.5340
16,0,1,8748,5.5696
16,0,1,13122,5.8495
16,0,1,16384,6.0583
16,0,2,16,5.0123
16,0,2,32,5.0143
16,0,2,64,5.0184
16,0,2,128,5.0266
16,0,2,256,5.0430
16,0,2,512,5.0758
16,0,2,768,5.1085
16,0,2,1024,5.1413
16,0,2,1152,5.1577
16,0,2,1728,5.2314
16,0,2,2048,5.2724
16,0,2,2592,5.3420
16,0,2,3888,5.5079
16,0,2,4096,5.5345
16,0,2,5832,5.7567
16,0,2,8192,6.0588
16,0,2,8748,6.1300
16,0,2,13122,6.6899
16,0,2,16384,7.1074
16,0,4,16,5.0154
16,0,4,32,5.0195
16,0,4,64,5.0276
16,0,4,128,5.0440
16,0,4,256,5.0768
16,0,4,512,5.1423
16,0,4,768,5.2079
16,0,4,1024,5.2734
16,0,4,1152,5.3062
16,0,4,1728,5.4536
16,0,4,2048,5.5356
16,0,4,2592,5.6748
16,0,4,3888,6.0066
16,0,4,4096,6.0598
16,0,4,5832,6.5043
16,0,4,8192,7.1084
16,0,4,8748,7.2508
16,0,4,13122,8.3705
16,0,4,16384,9.2056
16,0,8,16,5.0215
16,0,8,32,5.0297
16,0,8,64,5.0461
16,0,8,128,5.0788
16,0,8,256,5.1444
16,0,8,512,5.2755
16,0,8,768,5.4065
16,0,8,1024,5.5376
16,0,8,1152,5.6031
16,0,8,1728,5.8980
16,0,8,2048,6.0619
16,0,8,2592,6.3404
16,0,8,3888,7.0040
16,0,8,4096,7.1105
16,0,8,5832,7.9993
16,0,8,8192,9.2076
16,0,8,8748,9.4923
16,0,8,13122,11.7318
16,0,8,16384,13.4019
16,0,16,16,5.0338
16,0,16,32,5.0502
16,0,16,64,5.0829
16,0,16,128,5.1485
16,0,16,256,5.2796
16,0,16,512,5.5417
16,0,16,768,5.8038
16,0,16,1024,6.0660
16,0,16,1152,6.1971
16,0,16,1728,6.7869
16,0,16,2048,7.1146
16,0,16,2592,7.6716
16,0,16,3888,8.9987
16,0,16,4096,9.2117
16,0,16,5832,10.9894
16,0,16,8192,13.4060
16,0,16,8748,13.9754
16,0,16,13122,18.4543
16,0,16,16384,21.7946
16,0,32,16,5.0584
16,0,32,32,5.0911
16,0,32,64,5.1567
16,0,32,128,5.2877
16,0,32,256,5.5499
16,0,32,512,6.0742
16,0,32,768,6.5985
16,0,32,1024,7.1228
16,0,32,1152,7.3849
16,0,32,1728,8.5645
16,0,32,2048,9.2199
16,0,32,2592,10.3340
16,0,32,3888,12.9882
16,0,32,4096,13.4142
16,0,32,5832,16.9695
16,0,32,8192,21.8028
16,0,32,8748,22.9415
16,0,32,13122,31.8995
16,0,32,16384,38.5800
16,0,64,16,5.1075
16,0,64,32,5.1731
16,0,64,64,5.3041
16,0,64,128,5.5663
16,0,64,256,6.0906
16,0,64,512,7.1391
16,0,64,768,8.1877
16,0,64,1024,9.2363
16,0,64,1152,9.7606
16,0,64,1728,12.1199
16,0,64,2048,13.4306
16,0,64,2592,15.6588
16,0,64,3888,20.9672
16,0,64,4096,21.8192
16,0,64,5832,28.9299
16,0,64,8192,38.5964
16,0,64,8748,40.8738
16,0,64,13122,58.7897
16,0,64,16384,72.1508
16,0,128,16,5.2058
16,0,128,32,5.3369
16,0,128,64,5.5990
16,0,128,128,6.1233
16,0,128,256,7.1719
16,0,128,512,9.2691
16,0,128,768,11.3662
16,0,128,1024,13.4634
16,0,128,1152,14.5119
16,0,128,1728,19.2305
16,0,128,2048,21.8520
16,0,128,2592,26.3084
16,0,128,3888,36.9252
16,0,128,4096,38.6292
16,0,128,5832,52.8505
16,0,128,8192,72.1836
16,0,128,8748,76.7384
16,0,128,13122,112.5702
16,0,128,16384,139.2925
16,16,0,0,5.0102
16,16,1,16,5.0118
16,16,1,32,5.0128
16,16,1,64,5.0148
16,16,1,128,5.0189
16,16,1,256,5.0271
16,16,1,512,5.0435
16,16,1,1024,5.0763
16,16,1,2048,5.1418
16,16,1,4096,5.2729
16,16,1,8192,5.5350
16,16,1,16384,6.0593
16,16,2,16,5.0133
16,16,2,32,5.0154
16,16,2,64,5.0195
16,16,2,128,5.0276
16,16,2,256,5.0440
16,16,2,512,5.0768
16,16,2,1024,5.1423
16,16,2,2048,5.2734
16,16,2,4096,5.5356
16,16,2,8192,6.0598
16,16,2,16384,7.1084
16,16,4,16,5.0164
16,16,4,32,5.0205
16,16,4,64,5.0287
16,16,4,128,5.0451
16,16,4,256,5.0778
16,16,4,512,5.1434
16,16,4,1024,5.2744
16,16,4,2048,5.5366
16,16,4,4096,6.0609
16,16,4,8192,7.1094
16,16,4,16384,9.2066
16,16,8,16,5.0225
16,16,8,32,5.0307
16,16,8,64,5.0471
16,16,8,128,5.0799
16,16,8,256,5.1454
16,16,8,512,5.2765
16,16,8,1024,5.5386
16,16,8,2048,6.0629
16,16,8,4096,7.1115
16,16,8,8192,9.2086
16,16,8,16384,13.4029
16,16,16,16,5.0348
16,16,16,32,5.0512
16,16,16,64,5.0840
16,16,16,128,5.1495
16,16,16,256,5.2806
16,16,16,512,5.5427
16,16,16,1024,6.0670
16,16,16,2048,7.1156
16,16,16,4096,9.2127
16,16,16,8192,13.4070
16,16,16,16384,21.7956
16,16,32,16,5.0594
16,16,32,32,5.0922
16,16,32,64,5.1577
16,16,32,128,5.2888
16,16,32,256,5.5509
16,16,32,512,6.0752
16,16,32,1024,7.1238
16,16,32,2048,9.2209
16,16,32,4096,13.4152
16,16,32,8192,21.8038
16,16,32,16384,38.5811
16,16,64,16,5.1085
16,16,64,32,5.1741
16,16,64,64,5.3052
16,16,64,128,5.5673
16,16,64,256,6.0916
16,16,64,512,7.1402
16,16,64,1024,9.2373
16,16,64,2048,13.4316
16,16,64,4096,21.8202
16,16,64,8192,38.5974
16,16,64,16384,72.1519
16,16,128,16,5.2068
16,16,128,32,5.3379
16,16,128,64,5.6001
16,16,128,128,6.1244
16,16,128,256,7.1729
16,16,128,512,9.2701
