layer,sequences,time_us
lm_head,1,173.6954
lm_head,2,173.7376
lm_head,3,173.7799
lm_head,4,173.8222
lm_head,5,173.8645
lm_head,6,173.9068
lm_head,7,173.9491
lm_head,8,173.9914
lm_head,9,174.0336
lm_head,10,174.0759
lm_head,11,174.1182
lm_head,12,174.1605
lm_head,13,174.2028
lm_head,14,174.2451
lm_head,15,174.2874
lm_head,16,174.3296
lm_head,20,174.4988
lm_head,24,174.6679
lm_head,28,174.8371
lm_head,32,175.0062
lm_head,36,175.1753
lm_head,40,175.3445
lm_head,44,175.5136
lm_head,48,175.6828
lm_head,52,175.8519
lm_head,56,176.0210
lm_head,60,176.1902
lm_head,64,176.3593
lm_head,80,177.0359
lm_head,96,177.7124
lm_head,112,178.3890
lm_head,128,179.0656
lm_head,144,179.7421
lm_head,160,180.4187
lm_head,176,181.0953
lm_head,192,181.7718
lm_head,208,182.4484
lm_head,224,183.1249
lm_head,240,189.9764
lm_head,256,202.3081
sampler,1,5.0412
sampler,2,5.0824
sampler,3,5.1235
sampler,4,5.1647
sampler,5,5.2059
sampler,6,5.2471
sampler,7,5.2882
sampler,8,5.3294
sampler,9,5.3706
sampler,10,5.4118
sampler,11,5.4529
sampler,12,5.4941
sampler,13,5.5353
sampler,14,5.5765
sampler,15,5.6176
sampler,16,5.6588
sampler,20,5.8235
sampler,24,5.9882
sampler,28,6.1529
sampler,32,6.3176
sampler,36,6.4823
sampler,40,6.6470
sampler,44,6.8117
sampler,48,6.9764
sampler,52,7.1411
sampler,56,7.3058
sampler,60,7.4705
sampler,64,7.6352
sampler,80,8.2940
sampler,96,8.9528
sampler,112,9.6116
sampler,128,10.2704
sampler,144,10.9292
sampler,160,11.5880
sampler,176,12.2468
sampler,192,12.9056
sampler,208,13.5644
sampler,224,14.2232
sampler,240,14.8820
sampler,256,15.5408
