prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.9813
0,0,1,32,13.0027
0,0,1,64,13.003
0,0,1,128,14.1763
0,0,1,256,15.2853
0,0,1,512,16.1927
0,0,1,1024,17.5043
0,0,1,2048,18.208
0,0,1,4096,19.104
0,0,1,8192,20.5013
0,0,1,16384,23.776
0,0,2,16,13.0667
0,0,2,32,13.1197
0,0,2,64,13.024
0,0,2,128,14.379
0,0,2,256,15.4663
0,0,2,512,16.7257
0,0,2,1024,17.696
0,0,2,2048,18.4747
0,0,2,4096,20.0747
0,0,2,8192,21.5683
0,0,2,16384,23.968
0,0,4,16,13.1093
0,0,4,32,13.2373
0,0,4,64,13.248
0,0,4,128,14.432
0,0,4,256,15.744
0,0,4,512,17.0347
0,0,4,1024,17.707
0,0,4,2048,18.4533
0,0,4,4096,20.096
0,0,4,8192,22.752
0,0,4,16384,27.84
0,0,8,16,13.3013
0,0,8,32,13.3333
0,0,8,64,13.3867
0,0,8,128,14.528
0,0,8,256,15.6377
0,0,8,512,17.3547
0,0,8,1024,18.0373
0,0,8,2048,18.849
0,0,8,4096,21.1627
0,0,8,8192,26.7843
0,0,8,16384,36.9067
0,0,16,16,13.451
0,0,16,32,13.2907
0,0,16,64,13.3013
0,0,16,128,14.5387
0,0,16,256,15.9253
0,0,16,512,17.5787
0,0,16,1024,18.976
0,0,16,2048,21.3227
0,0,16,4096,26.539
0,0,16,8192,38.336
0,0,16,16384,57.4297
0,0,32,16,13.8777
0,0,32,32,14.0483
0,0,32,64,13.824
0,0,32,128,15.4987
0,0,32,256,16.4053
0,0,32,512,19.4667
0,0,32,1024,21.2267
0,0,32,2048,27.1043
0,0,32,4096,38.1973
0,0,32,8192,58.048
0,0,32,16384,95.1577
0,0,64,16,14.112
0,0,64,32,14.0373
0,0,64,64,14.0267
0,0,64,128,15.435
0,0,64,256,16.8213
0,0,64,512,23.0507
0,0,64,1024,29.6537
0,0,64,2048,41.9307
0,0,64,4096,61.579
0,0,64,8192,97.6113
0,0,64,16384,170.219
0,0,128,16,14.72
0,0,128,32,14.8267
0,0,128,64,15.0613
0,0,128,128,18.187
0,0,128,256,21.899
0,0,128,512,31.4247
0,0,128,1024,45.067
0,0,128,2048,65.814
0,0,128,4096,102.005
0,0,128,8192,173.974
0,0,128,16384,321.004
0,0,256,16,20.011
0,0,256,32,20.7467
0,0,256,64,20.875
0,0,256,128,25.3547
0,0,256,256,31.8187
0,0,256,512,47.7337
0,0,256,1024,69.7603
0,0,256,2048,104.599
0,0,256,4096,175.627
0,0,256,8192,318.125
0,0,256,16384,605.165
16,0,0,0,15.4133
16,0,1,16,15.2213
16,0,1,32,15.2107
16,0,1,64,15.2853
16,0,1,128,16.8957
16,0,1,256,18.1333
16,0,1,512,18.9553
16,0,1,1024,19.1573
16,0,1,2048,20.0747
16,0,1,4096,20.8323
16,0,1,8192,23.3173
16,0,1,16384,25.76
16,0,2,16,15.3493
16,0,2,32,15.264
16,0,2,64,15.3707
